Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections,merged_exploration_merged_map,with_human_knowledge
168.066288748,341423.0,108.096777865646,309585.0,0.0,389790.0,0,0,0,592832.0,604688.64
169.066424924,345063.0,109.486149322017,309585.0,0.0,390069.0,0,0,0,592832.0,604688.64
170.067920265,346313.0,110.279006457238,312518.0,0.0,390826.0,0,0,0,594153.0,606036.06
171.066962453,347643.0,111.468894734981,312518.0,0.0,390919.0,0,0,0,594115.0,605997.3
172.071466923,350312.0,112.676235387295,318429.0,0.0,392482.0,0,0,0,594716.0,606610.32
173.070403334,353324.0,113.932601805615,326098.0,0.0,394449.0,0,0,0,594581.0,606472.62
174.07147236,356027.0,115.230457485758,326098.0,0.0,394467.0,0,0,0,594581.0,606472.62
175.071139543,358758.0,116.507486536386,338501.0,0.0,400093.0,0,0,0,594658.0,606551.16
176.073967055,361615.0,117.495385921935,347765.0,0.0,400124.0,0,0,0,594681.0,606574.62
177.07229728,363356.0,118.725689940464,347765.0,0.0,407512.0,0,0,0,594787.0,606682.74
178.073356105,366399.0,119.944151002003,352464.0,0.0,413362.0,0,0,0,595200.0,607104.0
179.074317776,369247.0,121.023841567476,352464.0,0.0,415707.0,0,0,0,596052.0,607973.04
180.073005756,371179.0,122.26541689398,359212.0,0.0,424325.0,0,0,0,597983.0,609942.66
181.074369784,371616.0,123.451401016557,359212.0,0.0,424762.0,0,0,0,600808.0,612824.16
182.076393658,371653.0,123.551121456268,367932.0,0.0,433519.0,0,0,0,603527.0,615597.54
183.073396762,371660.0,124.64878783624,367932.0,0.0,433526.0,0,0,0,604415.0,616503.3
184.074954331,371665.0,125.911378344519,374810.0,0.0,440409.0,0,0,0,605672.0,617785.44
185.076623784,371681.0,127.124599797473,374810.0,0.0,440425.0,0,0,0,606105.0,618227.1
186.073905958,371685.0,128.466922505323,382541.0,0.0,448160.0,0,0,0,606313.0,618439.26
187.076512897,371685.0,129.723069446953,382541.0,0.0,448160.0,0,0,0,606346.0,618472.92
188.077245675,371685.0,131.014616356193,394825.0,0.0,460444.0,0,0,0,606847.0,618983.94
189.07539019,371685.0,132.346080568371,409251.0,0.0,474870.0,0,0,0,607044.0,619184.88
190.078250892,372182.0,133.612862440319,409251.0,0.0,474892.0,0,0,0,607072.0,619213.44
191.079833369,372248.0,134.847362557747,415034.0,0.0,480686.0,0,0,0,607171.0,619314.42
192.076435622,372299.0,136.226604193939,415034.0,0.0,480686.0,0,0,0,607219.0,619363.38
193.076745861,372347.0,137.35950097738,418955.0,0.0,484607.0,0,0,0,607277.0,619422.54
194.075625489,372382.0,138.521220078664,418955.0,0.0,484607.0,0,0,0,607277.0,619422.54
195.078671259,372661.0,139.910101390157,427481.0,0.0,493134.0,0,0,0,607372.0,619519.44
196.075023357,372697.0,141.350880566026,427481.0,0.0,493134.0,0,0,0,607374.0,619521.48
197.075734648,372756.0,142.621678545221,436951.0,0.0,502604.0,0,0,0,607510.0,619660.2
198.079949517,372805.0,143.835142091118,436951.0,0.0,502604.0,0,0,0,607512.0,619662.24
199.077180367,372833.0,145.074728435157,440612.0,0.0,506423.0,0,0,0,607903.0,620061.06
200.076667199,372889.0,146.393551552699,448197.0,0.0,514019.0,0,0,0,607923.0,620081.46
201.0784014,372950.0,147.662655836521,448197.0,0.0,514019.0,0,0,0,607923.0,620081.46
202.079454387,373017.0,148.974808910099,455282.0,0.0,520968.0,0,0,0,607960.0,620119.2
203.084661358,373079.0,150.270679995569,455282.0,0.0,520968.0,0,0,0,607960.0,620119.2
204.079909359,373145.0,151.514541408111,461022.0,0.0,526580.0,0,0,0,607968.0,620127.36
205.079775907,373224.0,152.832282012063,474582.0,0.0,526580.0,0,0,0,607968.0,620127.36
206.080795064,373683.0,154.137726101913,474582.0,0.0,540360.0,0,0,0,608002.0,620162.04
207.081010867,373782.0,155.419909442953,485310.0,0.0,551088.0,0,0,0,608039.0,620199.78
208.082413045,373877.0,156.641899648009,485310.0,0.0,551088.0,0,0,0,,
209.080583707,373925.0,157.981615387229,485310.0,0.0,551088.0,0,0,0,,
210.087610097,374038.0,159.230953600919,485310.0,0.0,551088.0,0,0,0,,
211.082787632,374131.0,160.58704353671,485310.0,0.0,551092.0,0,0,0,,
212.079712184,374237.0,161.792585736381,485310.0,0.0,551117.0,0,0,0,,
213.082073466,374350.0,163.03646905947,485310.0,0.0,551196.0,0,0,0,,
214.081119128,374455.0,164.237955089185,485310.0,0.0,551291.0,0,0,0,,
215.081038859,374877.0,165.59525050711,485310.0,0.0,551555.0,0,0,0,,
216.082416401,374941.0,166.840325168327,485310.0,0.0,551619.0,0,0,0,,
217.081007147,375063.0,168.114072975542,485310.0,0.0,551741.0,0,0,0,,
218.16617341459627,375705.0,169.120298,434279.0,0.0,510374.0,0,0,0,642251.0,668198.0
219.15233817733565,375805.0,170.423741,434621.0,0.0,510777.0,0,0,0,642758.0,668725.0
220.1032641060013,380075.0,171.640529,439790.0,0.0,516850.0,0,0,0,650401.0,676677.0
221.14180921941988,380175.0,172.944024,440135.0,0.0,517257.0,0,0,0,650912.0,677209.0
222.18525098218493,380275.0,173.96332,440481.0,0.0,517663.0,0,0,0,651424.0,677742.0
223.32823702384104,380375.0,175.339913,440827.0,0.0,518069.0,0,0,0,651935.0,678273.0
224.35256882000635,380475.0,176.619893,441173.0,0.0,518476.0,0,0,0,652447.0,678806.0
225.36993937316,380575.0,177.897919,441519.0,0.0,518883.0,0,0,0,652959.0,679339.0
226.36032533434835,380675.0,178.859629,441865.0,0.0,519290.0,0,0,0,653471.0,679871.0
227.37554009245125,380775.0,180.174256,442212.0,0.0,519697.0,0,0,0,653983.0,680404.0
228.38995964974745,380875.0,181.549159,442558.0,0.0,520104.0,0,0,0,654496.0,680938.0
229.3692385335827,382676.0,182.906312,444882.0,0.0,522836.0,0,0,0,657933.0,684513.0
230.34620230533616,382776.0,183.66296,445230.0,0.0,523244.0,0,0,0,658447.0,685048.0
231.3355937366204,382876.0,184.861709,445578.0,0.0,523653.0,0,0,0,658962.0,685584.0
232.3273975888663,382976.0,186.013482,445926.0,0.0,524062.0,0,0,0,659476.0,686119.0
233.46074433901904,383076.0,187.297864,446274.0,0.0,524471.0,0,0,0,659991.0,686655.0
234.5796544093126,383569.0,188.741092,447081.0,0.0,525419.0,0,0,0,661184.0,687896.0
235.6565396572969,383669.0,190.118152,447429.0,0.0,525829.0,0,0,0,661699.0,688432.0
236.6913025105296,383769.0,191.135655,447778.0,0.0,526239.0,0,0,0,662215.0,688968.0
237.71529741889893,384413.0,192.390145,448762.0,0.0,527395.0,0,0,0,663670.0,690482.0
238.69628949221007,384513.0,193.657159,449111.0,0.0,527805.0,0,0,0,664187.0,691020.0
239.779078962788,384613.0,194.85992,449461.0,0.0,528216.0,0,0,0,664704.0,691558.0
240.8921361618764,384713.0,196.353737,449810.0,0.0,528627.0,0,0,0,665221.0,692096.0
241.88567384859627,384813.0,197.540582,450160.0,0.0,529038.0,0,0,0,665738.0,692634.0
242.9421393318501,384913.0,198.040582,450510.0,0.0,529449.0,0,0,0,666255.0,693172.0
243.9900996916952,385603.0,199.186593,451551.0,0.0,530672.0,0,0,0,667794.0,694773.0
244.95416894470057,385703.0,200.388259,451901.0,0.0,531084.0,0,0,0,668313.0,695313.0
245.9790599271987,385996.0,201.531425,452478.0,0.0,531762.0,0,0,0,669165.0,696199.0
246.9681851580449,386823.0,202.789371,453681.0,0.0,533176.0,0,0,0,670945.0,698051.0
247.97315387599383,389123.0,204.083566,456614.0,0.0,536623.0,0,0,0,675283.0,702564.0
248.9992652732554,389869.0,205.330762,457725.0,0.0,537929.0,0,0,0,676926.0,704274.0
250.1417630900138,389969.0,205.889908,458079.0,0.0,538344.0,0,0,0,677448.0,704817.0
251.2024249331188,390069.0,206.389908,458432.0,0.0,538759.0,0,0,0,677971.0,705361.0
252.33921024629936,390169.0,206.889908,458786.0,0.0,539175.0,0,0,0,678494.0,705905.0
253.38693180860304,390269.0,207.405165,459139.0,0.0,539590.0,0,0,0,679017.0,706449.0
254.38641368576853,390369.0,207.905165,459493.0,0.0,540006.0,0,0,0,679540.0,706993.0
255.5217066783616,390469.0,208.405165,459847.0,0.0,540422.0,0,0,0,680064.0,707539.0
