Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections,tb uncoordinated traj
110.052925314,294404.0,51.185012852979,229475.0,89.43020770998325,346718.0,0.0,0.0,0.0,44.149280054734
111.050026471,298059.0,52.471579008061,229475.0,91.42680245151637,357886.0,0.0,0.0,0.0,44.149280054734
112.05191145,303711.0,53.481027361538,240505.0,92.99954609365383,372539.0,0.0,0.0,0.0,44.150831491017
113.051018429,309155.0,54.721295039158,240505.0,94.99415302731056,373823.0,0.0,0.0,0.0,44.750994736911
114.055046307,315264.0,56.002095517633,253106.0,96.99066102617384,388251.0,0.0,0.0,0.0,46.009280666771
115.054806933,318067.0,57.311568870997,259080.0,98.403998769366,395424.0,0.0,0.0,0.0,47.341500864615
116.051413423,320861.0,58.567741970609,259080.0,99.89796610736836,396491.0,0.0,0.0,0.0,48.617079749998
117.056985515,321392.0,59.845781132975,260179.0,101.39166786798096,398696.0,0.0,0.0,0.0,49.907813424919
118.054188449,321930.0,61.134807970638,260179.0,103.18890681185223,399778.0,0.0,0.0,0.0,51.186642684345
119.052075498,322045.0,61.617927673485,260408.0,104.52846282885506,400448.0,0.0,0.0,0.0,52.473643503462
120.052980115,322164.0,62.39582130827,260408.0,105.89694743411788,400448.0,0.0,0.0,0.0,53.482353976891
121.052912862,322284.0,62.488574256985,260408.0,106.06227729224678,400448.0,0.0,0.0,0.0,54.723711695853
122.052285456,322460.0,62.968579363809,260741.0,106.89969707843667,400781.0,0.0,0.0,0.0,55.998573604189
123.05433534,322634.0,63.080497394321,260741.0,107.09955764094668,400781.0,0.0,0.0,0.0,57.310951184672
124.053345736,323786.0,63.888959592283,263004.0,108.5356845869954,403044.0,0.0,0.0,0.0,58.570197857867
125.052451195,324900.0,65.03318054539,263004.0,110.6484310472776,403044.0,0.0,0.0,0.0,59.840018206
126.053934853,326004.0,66.166863138534,263004.0,110.6484310472776,403044.0,0.0,0.0,0.0,61.134480161685
127.054546546,326676.0,69.064450774235,264422.0,116.13950264343838,404462.0,0.0,0.0,0.0,61.619848148701
128.052783371,326867.0,70.923138772588,264825.0,119.68919001804076,404865.0,0.0,0.0,0.0,62.395668400688
129.053970111,326962.0,72.311515541736,265022.0,122.40694516870776,405062.0,0.0,0.0,0.0,62.489082060503
130.053187103,327057.0,73.252081073281,265022.0,124.16069376257155,405062.0,0.0,0.0,0.0,62.968680067934
131.056810121,327209.0,73.916484985402,265335.0,125.4060284761921,405375.0,0.0,0.0,0.0,63.082500143136
132.054354643,327647.0,75.200465338275,266205.0,127.77161950448615,406245.0,0.0,0.0,0.0,63.890115038406
133.05297537,328094.0,76.173983947605,266205.0,129.49303612539913,406245.0,0.0,0.0,0.0,65.033773913109
134.056286093,328774.0,77.306016991149,267495.0,131.48527595931293,407535.0,0.0,0.0,0.0,66.173671897616
135.053708472,329463.0,78.410329852308,268807.0,133.39423725926963,407535.0,0.0,0.0,0.0,69.062023865898
136.053768857,330151.0,79.501863458126,268807.0,133.39423725926963,408847.0,0.0,0.0,0.0,70.924505376653
137.05396795,330822.0,79.912629208336,268807.0,134.14122214043687,408847.0,0.0,0.0,0.0,72.31151254501
138.055520944,331471.0,80.881031990475,268807.0,135.90089974064185,408847.0,0.0,0.0,0.0,73.253626088753
139.05332332,332272.0,81.498174431918,270438.0,137.07968858514036,410478.0,0.0,0.0,0.0,73.914176704121
140.052085282,333039.0,82.680418374321,270438.0,139.35260483836467,410478.0,0.0,0.0,0.0,75.197544350917
141.054416133,333581.0,83.745747680367,271602.0,141.43198237746043,411642.0,0.0,0.0,0.0,76.175609556987
142.05328262,334197.0,84.408182137746,272910.0,142.6780351493361,412950.0,0.0,0.0,0.0,77.302628179883
143.053523409,334771.0,86.237670611394,274075.0,146.1638464553194,414115.0,0.0,0.0,0.0,78.410124956714
144.053363605,335353.0,87.170867346451,274075.0,147.9070108488149,414115.0,0.0,0.0,0.0,79.501421138659
145.054311748,338020.0,88.30909599485,279350.0,149.95107062015356,419096.0,0.0,0.0,0.0,79.912961627031
146.053644981,340677.0,89.337719551518,284446.0,151.72857900618334,423377.0,0.0,0.0,0.0,80.879218119617
147.054581884,343316.0,90.492578744783,284446.0,153.7179423933256,423377.0,0.0,0.0,0.0,81.49966420598
148.054398854,344959.0,91.485379242129,287566.0,155.4452654224378,425270.0,0.0,0.0,0.0,82.682877358848
149.052793411,346561.0,92.899740327958,287566.0,157.93004459317012,425270.0,0.0,0.0,0.0,83.744022967114
150.052817454,348196.0,93.886560424681,290831.0,159.7026027362846,425575.0,0.0,0.0,0.0,84.40787364608
151.056933806,349786.0,94.139578987202,290831.0,160.17536933796018,425575.0,0.0,0.0,0.0,86.240853691409
152.054083216,351364.0,94.692787763773,290831.0,161.23955267823638,425575.0,0.0,0.0,0.0,87.171685652436
153.05391772,352907.0,95.250402992474,290831.0,161.23955267823638,425575.0,0.0,0.0,0.0,88.308647925726
154.05310251,354435.0,95.992662759364,290831.0,162.66062249488797,425575.0,0.0,0.0,0.0,89.337161180765
155.054900747,357118.0,96.532289251465,296478.0,163.69210846763764,425814.0,0.0,0.0,0.0,90.49289537008
156.052876252,359956.0,97.198159260026,296478.0,164.9513246033202,425814.0,0.0,0.0,0.0,91.48386732538
157.053589648,361650.0,98.103112003508,299773.0,166.57750825493147,426050.0,0.0,0.0,0.0,92.90052605174
158.054088061,363563.0,102.698758233782,303448.0,174.8154813256178,426203.0,0.0,0.0,0.0,93.886880593908
159.055072078,365471.0,103.702102706222,303448.0,176.5453461283925,426203.0,0.0,0.0,0.0,94.139109866525
160.052684609,365700.0,104.886881467232,303877.0,178.63855271612582,426250.0,0.0,0.0,0.0,94.692011830237
161.056134999,365925.0,106.391487140956,303877.0,181.3348968607484,426358.0,0.0,0.0,0.0,95.252050132232
162.060103361,366364.0,107.372993511185,304731.0,183.0789254031817,426501.0,0.0,0.0,0.0,95.996433822765
