Time Elapsed (s),Explored Cells,Trajectory Length (m)
408.039768144,321970,0.0
409.039928115,321970,0.0
410.042308342,324772,0.0
411.039124702,324772,0.0
412.043254138,324772,0.0
413.040838009,324772,0.0
414.039201775,324772,0.0
415.038016536,328400,0.0
416.034738897,328400,0.0
417.036493269,328400,0.0
418.063229383,328400,0.0
419.03560716,328400,0.0
420.037520869,330497,0.0
421.03846506,330497,0.0
422.036185847,330497,0.0
423.037142597,330497,0.0
424.034414396,330497,0.0
425.03618756,331960,0.0
426.035572715,331960,0.0
427.035197652,331960,0.0
428.038049714,331960,0.0
429.037373308,331960,0.0
430.039371536,335002,0.0
431.03757172,335002,0.0
432.037433393,335002,0.0
433.035471921,335002,0.0
434.039940935,335002,0.0
435.037345612,336890,0.0
436.043462736,336890,0.0
437.042259188,336890,0.0
438.063626407,336890,0.0
439.038983694,336890,0.0
440.03554019,338003,0.0
441.040265056,338003,0.0
442.038238231,338003,0.0
443.037783667,338003,0.0
444.03743865,338003,0.0
445.03810672,339584,0.0
446.034584539,339584,0.0
447.037458258,339584,0.0
448.036731177,339584,0.0
449.035727381,339584,0.0
450.03906756,340588,0.0
451.034393268,340588,0.0
452.037418396,340588,0.0
453.037407737,340588,0.0
454.040472114,340588,0.0
455.067499507,342316,0.0
456.044099509,342316,0.0
457.041301148,342316,0.0
458.043123502,342316,0.0
459.038056975,342316,0.0
460.03878033,347143,0.0
461.043738891,347143,0.0
462.042965294,347143,0.0
463.049147283,347143,0.0
464.037696389,347143,0.0
465.044090373,356717,0.0
466.042940477,356717,0.0
467.040160278,356717,0.0
468.043565344,356717,0.0
469.040195205,356717,0.0
470.042273519,360279,0.0
471.039483802,360279,0.0
472.040722211,360279,0.0
473.049947851,360279,0.0
474.044993163,360279,0.0
475.045012933,375995,0.0
476.043802978,375995,0.0
477.044014575,375995,0.0
478.043007773,375995,0.0
479.040898111,375995,0.0
480.046831849,387147,0.0
481.077179348,387147,0.0
482.043114566,387147,0.0
483.045536348,387147,0.0
484.075113239,387147,0.0
485.076578921,394159,0.0
486.04379552,394159,0.0
487.043394835,394159,0.0
488.042252027,394159,0.0
489.076375295,394159,0.0
490.049601803,397893,0.0
491.043585963,397893,0.0
492.051766284,397893,0.0
493.047188046,397893,0.0
494.052041039,397893,0.0
495.044726331,403243,0.0
496.042795629,403243,0.0
497.045845901,403243,0.0
498.046137382,403243,0.0
499.042628366,403243,0.0
500.042092312,407665,0.0
501.044607659,407665,0.0
502.073546607,407665,0.0
503.044830577,407665,0.0
504.041669347,407665,0.0
505.043910982,410927,0.0
506.047014335,410927,0.0
507.045685632,410927,0.0
508.045491423,410927,0.0
509.046894197,410927,0.0
510.050203911,412698,0.0
511.046902692,412698,0.0
512.041944968,412698,0.0
513.04371004,412698,0.0
514.04303004,412698,0.0
515.042807761,415781,0.0
516.048158466,415781,0.0
517.045158535,415781,0.0
518.050926763,415781,0.0
519.042881144,415781,0.0
520.045430494,418359,0.0
521.04177624,418359,0.0
522.047909702,418359,0.0
523.046325106,418359,0.0
524.041916793,418359,0.0
525.053039841,420193,0.0
526.053101418,420193,0.0
527.04530603,420193,0.0
528.047068947,420193,0.0
529.046958537,420193,0.0
530.04839653,421323,0.0
531.047695354,421323,0.0
532.044474616,421323,0.0
533.04782964,421323,0.0
534.045901464,421323,0.0
535.044324859,422874,0.0
536.046056384,422874,0.0
537.047779677,422874,0.0
538.043557798,422874,0.0
539.046056742,422874,0.0
540.045818821,423201,0.0
541.046306115,423201,0.0
542.046842105,423201,0.0
543.046879733,423201,0.0
544.050320383,423201,0.0
545.048793341,423201,0.0
546.046550523,423201,0.0
547.042784837,423201,0.0
548.048494248,423201,0.0
549.04460448,423201,0.0
550.044662086,423201,0.0
551.048689339,423201,0.0
552.045597846,423201,0.0
553.046471459,423201,0.0
554.047016393,423201,0.0
555.042337318,424116,0.0
556.045339257,424116,0.0
557.042764876,424116,0.0
558.045174899,424116,0.0
559.046290225,424116,0.0
560.045130261,424313,0.0
561.046620807,424313,0.0
562.050173135,424313,0.0
563.044643748,424313,0.0
564.045278572,424313,0.0
565.048153311,424313,0.0
566.043968705,424313,0.0
567.04712471,424313,0.0
568.044661886,424313,0.0
569.046780452,424313,0.0
570.046809245,424313,0.0
